shuffle	jackknife	query	spec	pid	prediCAT	forced_prediCAT	snn	asm	asm_matches
jk1	k10_as_query	AFZ61501-1_1515_mod2_glu	glu	73.06	no_confident_result	glu	0.516732010813042	glu	9
jk1	k10_as_query	AFZ61501-1_1515_mod2_glu	glu	73.06	no_confident_result	glu	0.516732010813042	glu	9
jk1	k10_as_query	AGC24265-1_37_mod1_pro	pro	39.64	no_confident_result	pro-4p	0	no_call	0
jk1	k10_as_query	AGC24265-1_37_mod1_pro	pro	39.64	no_confident_result	pro-4p	0	no_call	0
jk1	k10_as_query	AGM16412-1_1974_mod2_val	val	89.23	no_confident_result	val	1.75844416553225	ile|val	9
jk1	k10_as_query	AGM16412-1_1974_mod2_val	val	89.23	no_confident_result	val	1.75844416553225	ile|val	9
jk1	k10_as_query	AGM16412-1_5576_mod5_ser	ser	100	ser	ser	1.51064626663926	ser	9
jk1	k10_as_query	AGM16412-1_5576_mod5_ser	ser	100	ser	ser	1.51064626663926	ser	9
jk1	k10_as_query	AGM16414-1_277_mod1_val	val	100	no_confident_result	val	2.24821811985769	ile|val	9
jk1	k10_as_query	AGM16414-1_277_mod1_val	val	100	no_confident_result	val	2.24821811985769	ile|val	9
jk1	k10_as_query	AHF21228-1_5129_mod4_ser	ser	97.27	no_confident_result	ser	1.7845983110215	ser	9
jk1	k10_as_query	AHF21228-1_5129_mod4_ser	ser	97.27	no_confident_result	ser	1.7845983110215	ser	9
jk1	k10_as_query	AHF21228-1_6670_mod5_trp	trp	100	no_confident_result	trp	2.25935571057972	trp	9
jk1	k10_as_query	AHF21228-1_6670_mod5_trp	trp	100	no_confident_result	trp	2.25935571057972	trp	9
jk1	k10_as_query	AHF21229-1_280_mod1_val	val	100	val	val	2.15964337372428	val	9
jk1	k10_as_query	AHF21229-1_280_mod1_val	val	100	val	val	2.15964337372428	val	9
jk1	k10_as_query	AHZ20784-1_1992_mod2_gln|tyr	gln|tyr	100	no_confident_result	glu|tyr	0.85180385032279	gln|glu|tyr	9
jk1	k10_as_query	AHZ20784-1_1992_mod2_gln|tyr	gln|tyr	100	no_confident_result	glu|tyr	0.85180385032279	gln|glu|tyr	9
jk1	k10_as_query	BGC0000335_AID65222-1_2687_mod1_asn	asn	47.16	asn	asn	0	asn	9
jk1	k10_as_query	BGC0000335_AID65222-1_2687_mod1_asn	asn	47.16	asn	asn	0	asn	9
jk1	k10_as_query	BGC0000369_AHZ20773-1_478_mod1_thr	thr	100	thr	thr	0.835530157102822	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0000369_AHZ20773-1_478_mod1_thr	thr	100	thr	thr	0.835530157102822	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0000369_AHZ20781-1_481_mod1_thr	thr	100	thr	thr	0.791080558786533	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0000369_AHZ20781-1_481_mod1_thr	thr	100	thr	thr	0.791080558786533	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0000371_BAH33409-1_2360_mod2_gly	gly	45.36	no_confident_result	gly	0	gly	9
jk1	k10_as_query	BGC0000371_BAH33409-1_2360_mod2_gly	gly	45.36	no_confident_result	gly	0	gly	9
jk1	k10_as_query	BGC0000371_BAH33409-1_3340_mod3_horn	horn	51.9	no_confident_result	orn	0	horn	9
jk1	k10_as_query	BGC0000371_BAH33409-1_3340_mod3_horn	horn	51.9	no_confident_result	orn	0	horn	9
jk1	k10_as_query	BGC0000376_BAP16684-1_33_mod1_trp|6cl-trp	trp|6cl-trp	39.24	no_confident_result	phe|tyr	0	6cl-trp|trp	9
jk1	k10_as_query	BGC0000376_BAP16684-1_33_mod1_trp|6cl-trp	trp|6cl-trp	39.24	no_confident_result	phe|tyr	0	6cl-trp|trp	9
jk1	k10_as_query	BGC0000398_AFH75329-1_1652_mod2_val	val	80.67	no_confident_result	val	0.328991928229729	val	9
jk1	k10_as_query	BGC0000398_AFH75329-1_1652_mod2_val	val	80.67	no_confident_result	val	0.328991928229729	val	9
jk1	k10_as_query	BGC0000400_AGM16412-1_1974_mod2_val	val	89.23	no_confident_result	val	1.75844416553225	ile|val	9
jk1	k10_as_query	BGC0000400_AGM16412-1_1974_mod2_val	val	89.23	no_confident_result	val	1.75844416553225	ile|val	9
jk1	k10_as_query	BGC0000400_AGM16413-1_2831_mod3_ser	ser	100	ser	ser	1.46502746760139	ser	9
jk1	k10_as_query	BGC0000400_AGM16413-1_2831_mod3_ser	ser	100	ser	ser	1.46502746760139	ser	9
jk1	k10_as_query	BGC0000423_CBG75492-1_2792_mod3_horn	horn	100	no_confident_result	nme-fhorn	1.24430047825299	horn|nme-fhorn	9
jk1	k10_as_query	BGC0000423_CBG75492-1_2792_mod3_horn	horn	100	no_confident_result	nme-fhorn	1.24430047825299	horn|nme-fhorn	9
jk1	k10_as_query	BGC0000425_AFH75321-1_581_mod1_d-gln	d-gln	88.45	no_confident_result	d-leu	1.88025095017841	d-gln	9
jk1	k10_as_query	BGC0000425_AFH75321-1_581_mod1_d-gln	d-gln	88.45	no_confident_result	d-leu	1.88025095017841	d-gln	9
jk1	k10_as_query	BGC0000425_AFH75322-1_1653_mod2_d-athr	d-athr	91.16	no_confident_result	d-athr	3.19163222929645	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0000425_AFH75322-1_1653_mod2_d-athr	d-athr	91.16	no_confident_result	d-athr	3.19163222929645	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
jk1	k10_as_query	BGC0000425_AFH75322-1_3790_mod4_hse	hse	89.09	no_confident_result	hse	0.746168006722099	hse	9
jk1	k10_as_query	BGC0000425_AFH75322-1_3790_mod4_hse	hse	89.09	no_confident_result	hse	0.746168006722099	hse	9
jk1	k10_as_query	BGC0000431_EFE73312-1_1526_mod2_ser	ser	100	no_confident_result	thr	1.79864758599331	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	BGC0000431_EFE73312-1_1526_mod2_ser	ser	100	no_confident_result	thr	1.79864758599331	athr|deoxy-thr|dhab|dht|ser|thr	9
jk1	k10_as_query	BGC0000439_AHH53507-1_1547_mod2_asp	asp	100	asp	asp	0.862442561452329	asp	9
jk1	k10_as_query	BGC0000439_AHH53507-1_1547_mod2_asp	asp	100	asp	asp	0.862442561452329	asp	9
jk1	k10_as_query	BGC0000449_AHF21228-1_5129_mod4_ser	ser	97.27	no_confident_result	ser	1.7845983110215	ser	9
jk1	k10_as_query	BGC0000449_AHF21228-1_5129_mod4_ser	ser	97.27	no_confident_result	ser	1.7845983110215	ser	9
jk1	k10_as_query	BGC0000451_CP001614-2_15150-22349_mod2_ser	ser	55.91	ser	ser	0	ser	9
jk1	k10_as_query	BGC0000451_CP001614-2_15150-22349_mod2_ser	ser	55.91	ser	ser	0	ser	9
jk1	k10_as_query	BGC0000463_AGM14933-1_3718_mod4_leu	leu	79.67	no_confident_result	leu	0.659062682802593	gln|leu	9
jk1	k10_as_query	BGC0000463_AGM14933-1_3718_mod4_leu	leu	79.67	no_confident_result	leu	0.659062682802593	gln|leu	9
jk1	k10_as_query	BGC0000464_CDG17980-1_3751_mod4_leu	leu	62.08	no_confident_result	thr	0	leu	9
jk1	k10_as_query	BGC0000464_CDG17980-1_3751_mod4_leu	leu	62.08	no_confident_result	thr	0	leu	9
jk1	k10_as_query	BGC0000464_CDG17982-1_3820_mod4_leu	leu	89.63	leu	leu	1.5923973674783	leu|val	9
jk1	k10_as_query	BGC0000464_CDG17982-1_3820_mod4_leu	leu	89.63	leu	leu	1.5923973674783	leu|val	9
jk1	k10_as_query	BGC0000464_CDG17982-1_523_mod1_ala	ala	68.93	no_confident_result	ala	0.255822217172715	ala	9
jk1	k10_as_query	BGC0000464_CDG17982-1_523_mod1_ala	ala	68.93	no_confident_result	ala	0.255822217172715	ala	9
jk1	k10_as_query	BGC0001036_AGZ15459-1_2235_mod2_3oh-3me-pro	3oh-3me-pro	100	no_confident_result	3oh-3me-pro	0.819238094908989	3oh-3me-pro	9
jk1	k10_as_query	BGC0001036_AGZ15459-1_2235_mod2_3oh-3me-pro	3oh-3me-pro	100	no_confident_result	3oh-3me-pro	0.819238094908989	3oh-3me-pro	9
jk1	k10_as_query	BGC0001125_AIW82285-1_488_mod1_thr	thr	75.31	no_confident_result	deoxy-thr	0.640407272115529	athr|bmt|d-athr|d-thr|dhab|dhabu|dht|nme-thr|thr	9
